name,dataType,indexed,stored
acceptedConceptName,string,true,true
acronym,string,true,true
aus_s,string,true,true
australian_s,string,true,true
author,string,true,true
auto_name_exact,name,true,false
auto_text,auto,true,false
auto_text_edge,auto,true,false
bioOrder,string,true,true
categories,string,true,true
class,string,true,true
commonName,text,true,true
commonNameDisplay,string,false,true
commonNameExact,lowercase,true,false
commonNameSingle,string,true,true
commonNameSort,string,true,true
concat_name,concat,true,false
conservationStatus,string,true,true
conservationStatusACT,string,true,true
conservationStatusAUS,string,true,true
conservationStatusNSW,string,true,true
conservationStatusNT,string,true,true
conservationStatusQLD,string,true,true
conservationStatusSA,string,true,true
conservationStatusTAS,string,true,true
conservationStatusVIC,string,true,true
conservationStatusWA,string,true,true
content,text,true,true
dataProviderName,text,true,true
dataset,string,true,true
description,text,true,true
exact_text,lowercase,true,false
family,string,true,true
genus,string,true,true
georeferencedCount,int,true,true
guid,string,true,true
hasChildren,string,false,true
hasImage,boolean,true,true
id,string,true,true
idxtype,string,true,true
image,string,false,true
imageCount,int,true,true
imageSource,string,true,true
imageSources,string,true,true
imagesSourceCount,int,true,true
institutionType,string,true,true
is_ala_b,boolean,true,true
is_excluded_b,boolean,true,true
kingdom,string,true,true
left,int,true,true
linkIdentifier,string,true,true
name,string,true,true
nameComplete,string,false,true
name_complete,name,true,false
occurrenceCount,int,true,true
otherGuid,string,true,true
parentGuid,string,true,true
parentId,string,true,true
phylum,string,true,true
preferredName,lowercase,true,true
rank,string,true,true
rankId,int,true,true
rawRank,string,true,true
regionType,text,true,true
right,int,true,true
scientificName,string,true,true
scientificNameRaw,string,true,true
scientificNameText,text,true,true
simpleText,text,true,true
singleScientificName,string,true,true
speciesGroup,string,true,true
speciesSubgroup,string,true,true
stopped_common_name,stopped,true,false
superColumnName,string,true,true
syn_guid,string,true,true
synonymDescription_s,string,true,true
synonymRelationship_s,string,true,true
text,text,true,false
thumbnail,string,false,true
uid,string,true,true
url,string,true,true
userIP,string,true,true
